sr no,city,zip code,No Bathroom,No bedroom,price  per squrefoot,area_name,property type,furnishing,status,transaction,facing,floor,ownership,area sqft
1,Vadodara,390022,3,3,7173,Aanta Swagtam Atladra,Villa,Furnished,Ready to Move,Resale,East,,Other,1185
2,Vadodara,390022,2,1,6352,Ajwa Road,House,Furnished,Ready to Move,Resale,East,,Other,551
3,Vadodara,390022,1,1,11333,Ajwa Road,House,Unfurnished,Ready to Move,Resale,East,,Freehold,465
4,Vadodara,390022,1,1,4214,Ajwa Road,House,Unfurnished,Ready to Move,Resale,East,,Freehold,700
5,Vadodara,390022,2,2,2593,Ajwa Road,Flat,Unfurnished,Ready to Move,Resale,Other,7.0,Freehold,1350
6,Vadodara,390022,1,2,2577,Ajwa Road,Flat,Unfurnished,Ready to Move,Resale,Other,2.0,Other,1261
7,Vadodara,390022,2,2,3525,Ajwa Road,Flat,Furnished,Ready to Move,Resale,East,8.0,Freehold,800
8,Vadodara,390022,2,2,6196,Ajwa Road,House,Semi-Furnished,Ready to Move,Resale,North,,Freehold,807
9,Vadodara,390022,2,2,2383,Ajwa Road,Flat,Semi-Furnished,Ready to Move,Resale,Other,2.0,Other,1200
10,Vadodara,390022,3,2,3500,Ajwa Road,House,Semi-Furnished,Ready to Move,Resale,North,1.0,Freehold,1000
11,Vadodara,390022,2,2,2632,Ajwa Road,Flat,Unfurnished,Ready to Move,Resale,East,6.0,Freehold,950
12,Vadodara,390022,2,2,4000,Ajwa Road,Flat,Unfurnished,Ready to Move,New,Other,2.0,Other,780
13,Vadodara,390022,3,3,4444,Ajwa Road,Villa,Unfurnished,Ready to Move,Resale,Other,,Other,2700
14,Vadodara,390022,3,3,4286,Ajwa Road,Flat,Unfurnished,Ready to Move,New,East,10.0,Freehold,1400
15,Vadodara,390022,3,3,3529,Ajwa Road,Flat,Unfurnished,Ready to Move,Resale,East,10.0,Freehold,1275
16,Vadodara,390022,2,3,2839,Ajwa Road,Flat,Semi-Furnished,Ready to Move,Resale,Other,9.0,Other,1550
17,Vadodara,390022,3,4,4375,Ajwa Road,House,Semi-Furnished,Ready to Move,Resale,West,,Freehold,1600
18,Vadodara,390022,4,4,2292,Ajwa Road,House,Unfurnished,Ready to Move,New,Other,5.0,Freehold,2400
19,Vadodara,390022,4,4,3084,Ajwa Road,House,Unfurnished,Ready to Move,Resale,Other,5.0,Other,2270
20,Vadodara,390022,2,2,7407,Akhanksha Duplex Laxmipura,House,Semi-Furnished,Ready to Move,Resale,East,,Freehold,1350
21,Vadodara,390020,1,1,3246,Akota,Flat,Semi-Furnished,Ready to Move,Resale,Other,2.0,Other,647
22,Vadodara,390020,1,1,3200,Akota,Flat,Unfurnished,Unknown,Resale,East,2.0,Freehold,750
23,Vadodara,390020,2,2,4500,Akota,Flat,Semi-Furnished,Ready to Move,Resale,East,3.0,Freehold,1000
24,Vadodara,390020,2,2,4000,Akota,Builder Floor,Semi-Furnished,Ready to Move,Resale,East,2.0,Freehold,1000
25,Vadodara,390020,2,2,4464,Akota,Flat,Semi-Furnished,Ready to Move,Resale,East,2.0,Freehold,896
26,Vadodara,390020,2,2,6000,Akota,House,Unfurnished,Ready to Move,Resale,Other,,Other,1250
27,Vadodara,390020,2,2,3714,Akota,Flat,Semi-Furnished,Ready to Move,Resale,North - East,7.0,Freehold,1050
28,Vadodara,390020,2,2,8125,Akota,Flat,Semi-Furnished,Ready to Move,Resale,South - East,2.0,Other,400
29,Vadodara,390020,2,2,3070,Akota,Flat,Semi-Furnished,Ready to Move,Resale,Other,3.0,Other,1140
30,Vadodara,390020,2,2,3714,Akota,Flat,Unfurnished,Ready to Move,Resale,North - East,7.0,Freehold,1050
31,Vadodara,390020,2,2,4583,Akota,Builder Floor,Unfurnished,Ready to Move,Resale,Other,5.0,Other,1200
32,Vadodara,390020,2,2,3500,Akota,Flat,Furnished,Ready to Move,Resale,Other,3.0,Other,1200
33,Vadodara,390020,2,2,5000,Akota,Builder Floor,Semi-Furnished,Ready to Move,Resale,Other,2.0,Other,900
