sr no,city,zip code,No Bathroom,No bedroom,price  per squrefoot,area_name
1,Vadodara,390002,,1,2505,Fatehgunj
2,Vadodara,390011,1.0,1,2408,Manjalpur
3,Vadodara,390022,1.0,3,2538,Harni
4,Vadodara,390022,2.0,2,2377,Amit Nagar
5,Vadodara,390022,2.0,3,2349,Amit Nagar
6,Vadodara,390021,1.0,1,2599,Gotri
7,Vadodara,390002,1.0,2,2642,Fatehgunj
8,Vadodara,390007,1.0,3,2649,Diwalipura
9,Vadodara,390002,2.0,2,2498,Nizampura
10,Vadodara,390010,2.0,3,2319,Makarpura
11,Vadodara,390011,3.0,3,2818,Manjalpur
12,Vadodara,390007,1.0,1,2278,Diwalipura
13,Vadodara,391410,1.0,2,2022,Bhayli
14,Vadodara,390022,1.0,3,2108,Amit Nagar
15,Vadodara,390022,2.0,2,2635,New VIP Road
16,Vadodara,390011,2.0,3,2719,Manjalpur
17,Vadodara,391410,2.0,4,2259,Bhayli
18,Vadodara,390002,3.0,3,2788,Nizampura
19,Vadodara,390022,1.0,1,1938,Amit Nagar
20,Vadodara,390009,1.0,2,1973,Tarsali
21,Vadodara,390022,1.0,3,2612,Harni
22,Vadodara,390011,2.0,2,2620,Manjalpur
23,Vadodara,390007,2.0,3,2526,Vasna
24,Vadodara,390002,1.0,1,2192,Nizampura
25,Vadodara,390007,1.0,2,2901,Alkapuri
26,Vadodara,390022,1.0,3,2490,Harni
27,Vadodara,390021,2.0,2,2736,Gotri
28,Vadodara,391410,1.0,1,1904,Bhayli
29,Vadodara,390007,1.0,2,2896,Alkapuri
30,Vadodara,390002,1.0,3,2604,Fatehgunj
31,Vadodara,390007,2.0,2,2486,Diwalipura
32,Vadodara,390008,2.0,3,3037,Sama
33,Vadodara,390002,3.0,3,2809,Fatehgunj
34,Vadodara,390018,1.0,1,2125,Karelibaug
35,Vadodara,390018,1.0,2,2424,Karelibaug
36,Vadodara,390022,1.0,3,2370,Harni
37,Vadodara,390010,2.0,2,2159,Makarpura
38,Vadodara,390009,2.0,2,2014,Tarsali
39,Vadodara,390002,3.0,3,2690,Fatehgunj
40,Vadodara,390008,1.0,1,2538,Sama
41,Vadodara,390007,1.0,2,2516,Diwalipura
42,Vadodara,390020,1.0,1,2485,Akota
43,Vadodara,390018,1.0,2,2340,Karelibaug
44,Vadodara,391410,1.0,3,2103,Bhayli
45,Vadodara,390007,2.0,2,2407,Diwalipura
46,Vadodara,390010,2.0,3,2205,Makarpura
47,Vadodara,390022,1.0,1,1979,Amit Nagar
48,Vadodara,390020,1.0,2,2695,Akota
49,Vadodara,390007,1.0,3,2611,Diwalipura
50,Vadodara,390022,2.0,2,2081,Amit Nagar
51,Vadodara,390002,2.0,3,2749,Fatehgunj
52,Vadodara,390008,3.0,3,2925,Sama
53,Vadodara,390022,1.0,1,2159,Harni
54,Vadodara,390009,1.0,2,2155,Tarsali
55,Vadodara,390018,1.0,3,2573,Karelibaug
56,Vadodara,390007,1.0,4,2644,Vasna
57,Vadodara,390018,2.0,2,2364,Karelibaug
58,Vadodara,390018,2.0,3,2542,Karelibaug
59,Vadodara,391410,2.0,4,2380,Bhayli
60,Vadodara,390022,3.0,3,2748,Harni
61,Vadodara,390007,3.0,4,2847,Diwalipura
62,Vadodara,390007,1.0,1,2153,Vasna
63,Vadodara,390022,1.0,2,2050,Amit Nagar
64,Vadodara,390007,1.0,3,2322,Vasna
65,Vadodara,390009,1.0,4,2433,Tarsali
66,Vadodara,390008,2.0,2,2862,Sama
67,Vadodara,390022,2.0,3,2564,Harni
68,Vadodara,390022,2.0,4,2590,Amit Nagar
69,Vadodara,390007,3.0,3,3293,Alkapuri
70,Vadodara,390010,3.0,4,2432,Makarpura
71,Vadodara,390022,4.0,4,2713,Amit Nagar
72,Vadodara,390010,1.0,1,2058,Makarpura
73,Vadodara,390007,1.0,2,2947,Alkapuri
74,Vadodara,390008,1.0,3,2921,Sama
75,Vadodara,390022,1.0,4,2374,Harni
76,Vadodara,390007,3.0,4,2964,Diwalipura
77,Vadodara,391410,2.0,4,2358,Bhayli
