sr no,city,zip code,No Bathroom,No bedroom,price  per squrefoot,area_name,property type,furnishing,status,transaction,facing,floor,ownership,area sqft
1,Vadodara,391410,2,2,5556,Bhayli,Apartment,Furnished,Ready to Move,Resale,East,4.0,Freehold,900
2,Vadodara,390022,2,2,3386,Pashabhai Park,Apartment,Semi-Furnished,Ready to Move,Resale,Unknown,4.0,Unknown,945
3,Vadodara,390022,2,2,5000,Vemali,Apartment,Furnished,Ready to Move,Resale,East,2.0,Freehold,700
4,Vadodara,390025,3,4,2720,Waghodia Road,House,Unfurnished,Ready to Move,Resale,East,,Freehold,2500
5,Vadodara,390025,2,2,4118,Waghodia Road,Apartment,Semi-Furnished,Ready to Move,Resale,East,2.0,Freehold,850
6,Vadodara,390022,1,3,4533,Old Padra Road,Apartment,Unknown,Unknown,Unknown,East,2.0,Freehold,1765
7,Vadodara,390012,2,2,3043,Tandalja,Apartment,Semi-Furnished,Ready to Move,Resale,Unknown,2.0,Co-operative Society,1150
8,Vadodara,390020,4,5,6038,Akota Road,House,Semi-Furnished,Ready to Move,Resale,East,,Freehold,1325
9,Vadodara,390021,2,2,5223,Gotri,Apartment,Semi-Furnished,Ready to Move,Resale,East,1.0,Unknown,762
10,Vadodara,390022,2,2,4924,Sama Savli Road,Apartment,Furnished,Ready to Move,Resale,East,2.0,Freehold,853
11,Vadodara,390022,2,2,6000,Sama Road,Apartment,Semi-Furnished,Ready to Move,Resale,Unknown,3.0,Freehold,1000
12,Vadodara,390012,4,4,3814,Atladara,Builder Floor,Semi-Furnished,Ready to Move,Resale,West,4.0,Freehold,1180
13,Vadodara,390012,3,3,3519,Kalali,Apartment,Unfurnished,Ready to Move,Resale,East,5.0,Freehold,1080
14,Vadodara,390021,2,2,4163,Gotri,Apartment,Semi-Furnished,Ready to Move,Resale,North - East,2.0,Freehold,1225
15,Vadodara,390019,3,3,4216,New Alkapuri,Apartment,Semi-Furnished,Ready to Move,Resale,North,5.0,Freehold,1850
16,Vadodara,390022,3,3,5392,Vasna Bhayli Main Road,Apartment,Semi-Furnished,Ready to Move,Resale,East,1.0,Unknown,1020
17,Vadodara,390025,2,2,4000,Waghodia Road,Apartment,Semi-Furnished,Ready to Move,Resale,East,1.0,Freehold,750
18,Vadodara,390022,5,4,7303,Sun Pharma Road,House,Semi-Furnished,Ready to Move,Resale,East,,Freehold,1780
19,Vadodara,390022,3,4,12277,Sun Pharma Road,House,Furnished,Ready to Move,Resale,North,,Unknown,2240
20,Vadodara,390007,4,4,9796,Vasna Road,House,Furnished,Ready to Move,Resale,Unknown,,Unknown,2450
21,Vadodara,390022,2,2,3863,Panchvati,Apartment,Furnished,Ready to Move,Resale,East,1.0,Freehold,906
22,Vadodara,390022,3,3,4367,Jambuva,House,Unfurnished,Ready to Move,Resale,Unknown,1.0,Unknown,1500
23,Vadodara,390009,1,1,2092,Tarsali,Apartment,Semi-Furnished,Ready to Move,Resale,West,4.0,Freehold,741
24,Vadodara,390022,3,4,8000,Pashabhai Park,Villa,Furnished,Ready to Move,New Property,Unknown,,Co-operative Society,2000
25,Vadodara,390022,2,2,5429,New Kareli Baug,Apartment,Semi-Furnished,Ready to Move,Resale,Unknown,2.0,Unknown,700
26,Vadodara,390022,9,9,11667,Harni Road,House,Semi-Furnished,Ready to Move,Resale,North - East,,Co-operative Society,3000
27,Vadodara,390019,5,5,8929,New Alkapuri,Villa,Furnished,Ready to Move,Resale,East,,Freehold,5600
28,Vadodara,390022,2,2,8571,Makarpura Road,House,Semi-Furnished,Ready to Move,Resale,South,2.0,Freehold,1750
29,Vadodara,390007,1,1,10769,Saiyed Vasna,House,Semi-Furnished,Ready to Move,Resale,East,1.0,Freehold,650
30,Vadodara,390011,4,4,5556,Manjalpur,Apartment,Unfurnished,Ready to Move,Resale,East,3.0,Unknown,2700
31,Vadodara,390012,3,4,5769,Kalali,Villa,Furnished,Ready to Move,Resale,North,,Co-operative Society,2600
32,Vadodara,390022,2,1,4973,Rasulabad,Villa,Semi-Furnished,Ready to Move,New Property,North - East,,Freehold,915
33,Vadodara,390022,3,6,4545,Vasna Bhayli Main Road,Apartment,Unfurnished,Ready to Move,New Property,South - East,6.0,Freehold,2200
34,Vadodara,390025,2,2,3830,Waghodia Road,Apartment,Semi-Furnished,Ready to Move,Resale,Unknown,1.0,Unknown,1175
35,Vadodara,390012,2,2,3347,Atladara,Apartment,Unfurnished,Ready to Move,Resale,East,4.0,Freehold,1195
36,Vadodara,391410,2,2,5400,Bhayli,Apartment,Unfurnished,Ready to Move,Resale,Unknown,5.0,Unknown,500
37,Vadodara,390022,4,4,6316,Old Padra Road,Villa,Unfurnished,Ready to Move,Resale,North,,Freehold,1900
38,Vadodara,390022,3,3,5727,Sama Savli Road,Apartment,Semi-Furnished,Ready to Move,Resale,South -West,6.0,Freehold,1100
39,Vadodara,390007,4,4,9697,Alkapuri,Apartment,Furnished,Ready to Move,Resale,East,3.0,Freehold,1650
40,Vadodara,390025,2,2,3954,Waghodia Road,Apartment,Furnished,Ready to Move,Resale,North,5.0,Co-operative Society,784
41,Vadodara,390018,1,2,5455,Karelibaug,Apartment,Furnished,Ready to Move,Resale,Unknown,7.0,Freehold,550
